audio_path,predicted_transcript,actual_sentence
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40232698.mp3, this originated slag with chimes of slaves would not allow to play,This originated in slavery times when slaves were not allowed to play musical instruments.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40789957.mp3, In autumn that year she made a solo tour with her band in Switzerland.,"In autumn that year, she made a solo tour with her band in Switzerland."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40343646.mp3," The building houses classrooms, toilets, showers, and a staff room.","The building houses classrooms, toilets, showers and a staffroom."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40323404.mp3, She was nicknamed long list.,"She was nicknamed ""Long Liz""."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40550401.mp3, Many families have moved into this houses.,Many families have moved into these houses.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40257271.mp3, Footshel seems likely to have been played with equal numbers on both,Fidchell seems likely to have been played with equal numbers on both sides.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40291059.mp3, Erikaemi has received national acclaim for its numerous instrumental,Air Academy has received national acclaim for its numerous instrumental ensembles.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40328595.mp3, Call the doctor was written in three weeks and recorded in four days.,Call the Doctor was written in three weeks and recorded in four days.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40323143.mp3, He retired from basketball after this season.,He retired from basketball after the season.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40320618.mp3," For more details on geological crystal formation, see above.","For more details on geological crystal formation, see above."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40232993.mp3, This document shows that the Catholic Church is officially moved to Unity.,This document shows that the Catholic Church is officially moved to unity.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40242199.mp3, The marriage resulted in a rift between mother and son.,The marriage resulted in a rift between mother and son.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40341080.mp3, Will show off ten structures its investment mandates to meet specific,Wilshire often structures its investment mandates to meet specific objectives.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40202154.mp3, It supports had to be attached to the mensel.,Its supports had to be attached to the mensa.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40199565.mp3, Fuel was delivered via multiple fuel ejections.,Fuel was delivered via Multiport Fuel Injection.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40597464.mp3, No tree may be felled on the holy ground.,No tree may be felled on the holy ground.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40565266.mp3," Despite the movement of the front lines, fighting continued throughout","Despite the movement of the front lines, fighting continued throughout the country."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40402892.mp3, Mr Mallory was hit by a car on his way to work.,Mr. Mallory was hit by a car on his way to work.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40375056.mp3, It is not thus used in England.,It is not thus used in England.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40206464.mp3, Carson High School's mascot is the senator.,Carson High School's mascot is the Senator.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40260230.mp3, Transport network analysis falls within the field of transport engineering.,Transport network analysis falls within the field of transport engineering.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40354557.mp3, I will review some of the notable developments in the economy and financial,I will review some of the notable developments in the economy and financial system
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40321872.mp3, Trent manages to secure a small fighter in the parts for Savara.,"Trent manages to secure a small fighter, and departs for Savara."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40359292.mp3, People always backup and small country lands to lay QPR.,People always back up in small country lanes to let you pass.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40358249.mp3, The ancients were also called source for their common appearance in the,"The Ancients were also called ""Soarers"" for their common appearance in the air."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40423369.mp3, This will lead to a more active participation from the patient's side.,This will lead to a more active participation from the patient's side.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40210003.mp3, This remarkable discovery was unprecedented at,This remarkable discovery was unprecedented at the time.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40236302.mp3, It's a name Christmas fairy learned.,It was named 'Christmas Fairyland'.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40259517.mp3, Caledonian decided to apply for membership as did city rivals in,"Caledonian decided to apply for membership, as did city rivals Inverness Thistle."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40322882.mp3, The ending also implies that her strength exceeded Karen's.,The ending also implies that her strength exceeded Karen's.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40595430.mp3, The ledge is open each weekend from May to the end of September.,The village is open each weekend from May to the end of September.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40523210.mp3, The Matilda at Point Clay has been converted into a warm museum.,The Martello tower at Point Clear has been converted into a war museum.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40490612.mp3, The tour is the French word for Vulture.,Vautour is the French word for vulture.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40490614.mp3, He published his earliest works for the cello.,He published his earliest works for the cello.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40205387.mp3, first there is not one stand that transcription in use even,"First, there is not one standard transcription in use even for Standard Arabic."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40206130.mp3," However, not merely is there no record of the wedding.","However, not merely is there no record of the wedding."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40206142.mp3, The center does not award graduate degrees.,The Center does not award graduate degrees.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40322012.mp3, Intrific is really bad today probably because it's a free day,"Traffic is really bad today, probably because it's a three day weekend."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40259620.mp3," Like most of the Batman family, Stephanie Brown has no superhuman","Like most of the Batman family, Stephanie Brown has no superhuman powers."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40358254.mp3, Andrew leads a revol and takes account of the member hostage.,Andrew leads a revolt and takes a Council member hostage.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40269508.mp3, Liberia then liquidated the property of German nationals in Liberia.,Liberia then liquidated the property of German nationals in Liberia.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40269524.mp3," Despite hard work and rough sees, the ships only found one mine.","Despite hard work in rough seas, the ships only found one mine."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40421230.mp3, Our argument may be briefly indicated in advanced as follows.,Our argument may be briefly indicated in advance as follows.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40524011.mp3," Gene is world records, considers it a production motorcycle.",Guinness World Records considers it a production motorcycle.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40628887.mp3, A unique function at the classical example to make this strong maximum principle,Harmonic functions are the classical example to which the strong maximum principle applies.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40671528.mp3, Die Unserot an Empja und Dast ab und die Dastbohl.,"He also wrote ""An Empire of Dust"" about the Dust Bowl."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40232562.mp3," However, month by month, break down for domestic sales of individual car","However, month by month breakdowns for domestic sales of individual car models are available."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40232578.mp3," However, it isn't a tall by itself geographically.",However it is an atoll by itself geographically.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40232593.mp3, It has now ended its third season.,It has now ended its third season.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40258465.mp3, The executive wing is headed by the commissioner.,The executive wing is headed by the Commissioner.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40252483.mp3, It is one of the thinnest steel and concrete towers in the world.,It is one of the thinnest steel and concrete towers in the world.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40252498.mp3," As a teenager in St. Louis, Missouri, he played with Charlie Creeper.","As a teenager in Saint Louis, Missouri he played with Charlie Creath."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40250428.mp3, Graduates of the school are prepared to pursue an artistic and theatrical,Graduates of the school are prepared to pursue an artistic and theatric occupation.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40250432.mp3," In contrast, the backwash he's ominated by the sheet flow and bed load sediment transfer.","In contrast, the backwash is dominated by the sheet flow and bedload sediment transport."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40250435.mp3, I know it's served by Silent Eye School.,Silo is served by Silo High School.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40337583.mp3, The drug is administered for seven to ten days.,The drug is administered for seven to ten days.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40337597.mp3, The gardens are open to the public daily.,The gardens are open to the public daily.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40337623.mp3, defines the genre.,Defines the genre.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40191901.mp3," Therefore, the defendants prevailed and did not have to pay.","Therefore, the defendants prevailed, and did not have to pay."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40191922.mp3, A local woodcutter discovered a stream that ran with fine sake.,A local woodcutter discovered a stream that ran with fine sake.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40197743.mp3, Putronus was named by Homer.,Kotronas was named by Homer.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40197745.mp3, Women competed in this deepel chase for the first time.,Women competed in the steeplechase for the first time.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40204045.mp3," For your calls from the West, America has been made before.","Polyakov underwent medical assessments before, during, and after the flight."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40400919.mp3, They got a dish at Comatic George Liaochi in Mumbai.,They got engaged at Komati Gorge Lodge in Mpumalanga.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40353856.mp3," Until his death, battleheim lived in Paris.","Until his death, Bettelheim lived in Paris."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40353877.mp3, Rain and wind also caused temporal variation to the,Rain and wind also cause temporal variation to the phyllosphere microbiome.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40353879.mp3, Castles went on to investigate the last set outbreaks in West Africa.,Casals went on to investigate the Lassa outbreaks in West Africa.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40353889.mp3, He took part in the American War of Independence.,He took part in the American war of independence.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40189610.mp3, She continues to perform regularly at life venues and appears on television.,She continues to perform regularly at live venues and appears on television and radio.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40189640.mp3, These interactions are joined with other rates.,These interactions are joined with other roads.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40210672.mp3, His older brother was film school composer James Horner.,His older brother was film score composer James Horner.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40316162.mp3, The third test was washed out after only three hours play.,The Third Test was washed out after only three hours' play.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40316193.mp3," Consequently, there are also two types of oats.","Consequently, there are also two types of oaths."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40316232.mp3, They also vary in the geometry of the glycositic,They also vary in the geometry of the glycosidic linkage.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40316252.mp3," The group was renamed Justice for Kashmir, then renamed Peoples Justice.","The group was renamed ""Justice for Kashmir"", then renamed ""People's Justice Party."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40191883.mp3," At the time, my and earnest island were living apart.","At the time, May and Ernest Aylen were living apart."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40191891.mp3, The district government originally opposed the construction of the,The district government originally opposed the construction of the museum.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40191892.mp3," Listen, what I can buy one of his ministers and hidden.",His son was taken by one of his ministers and hidden.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40249817.mp3," Prior to incorporation, the time will known that place down","Prior to incorporation the town was known as ""Blaisdelltown""."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40357066.mp3, The Carter Center also collaborates with other public and private organizations.,The Carter Center also collaborates with other public and private organizations.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40357094.mp3, This is a very simple model of how whole conduction works.,This is a very simple model of how hole conduction works.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40381470.mp3, The process of induction relies entirely on members proposing new members.,The process of induction relies entirely on members proposing new members.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40381504.mp3, She wraps the baby in a shawl and leaves the house.,She wraps the baby in a shawl and leaves the house.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40381517.mp3," In addition, many can in theory support an unlimited number of species.","In addition, many can, in theory, support an unlimited number of species."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40329719.mp3," Woczanii, jak iPhone nie musicane.",Wacha nijhoke aihu nimzighane.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40329790.mp3, To the east of the hill is fallen in iron and age earthwork.,To the east of the hill is found an Iron Age earthwork.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40337525.mp3, And that time version of concentration took over its time slot the following week.,"A nighttime version of ""Concentration"" took over its time slot the following week."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40337559.mp3, Send remained with the club for another season.,Senn remained with the club for another season.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40337574.mp3, In each case the adaptation was scripted by Binder and drawn by Joe or Linde.,"In each case, the adaptation was scripted by Binder and drawn by Joe Orlando."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40337611.mp3, The dog jumped for joy at the sight of her owner.,The dog jumped for joy at the sight of her owner.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40529667.mp3, His younger brother Aril trained as an ophthalmologist.,His younger brother Aurel trained as an ophthalmologist.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40529691.mp3, The upper house is the Senate.,The upper house is the Senate.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40529699.mp3, As the family argues Lucy slips out and noticed unsure of her future.,"As the family argues, Lucy slips out unnoticed, unsure of her future."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40529739.mp3, bacteria probably have the largest capacity to utilize amino acids.,Bacteria probably have the largest capacity to utilize amino acids.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40529764.mp3, She has also played for the Los Angeles temptation in the Legends for Balik.,She has also played for the Los Angeles Temptation in the Legends Football League.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40529779.mp3, He achieved the rank of Colonel and died in London.,He achieved the rank of colonel and died in London.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40193012.mp3, But the bride is now where to be found.,But the Bride is nowhere to be found.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40193036.mp3, He was especially interested in me this done his right and the Jewish rewards.,He was especially interested in Middle Eastern history and the Jewish Revolts.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40193039.mp3," Likewise, I'll best also feature one storm.","Likewise, August also featured one storm."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40193044.mp3, Why then straightforward?,Why then strive forward?
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40282526.mp3, Some of the suspects in their shooting are still at large.,Some of the suspects in the shooting are still at large.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40269020.mp3, It was located in the city of Edmonton in the province of,It was located in the city of Edmonton in the province of Alberta.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40269073.mp3," He died in Tampa, Florida and was buried in the Roseland cemetery.","He died in Tampa, Florida, and was buried in the Roseland cemetery in Monticello."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40269112.mp3, He later play it for all time.,He later played for Oldham.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40269113.mp3," Not all cyclists were competing for the victory, some only join us to",Not all cyclists were competing for the victory; some only joined as tourists.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40269128.mp3," Dejen de columnar por multes, y dejen de rosar por multes.","Then the columns are permuted, and then the rows are permuted."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40269227.mp3, The theory of buildings has important applications in several ways.,The theory of buildings has important applications in several rather disparate fields.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40269300.mp3, Rabal is reported to the Nate Alprosites from the book to charity.,Raval is reported to donate all proceeds from the book to charity.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40269309.mp3, The judge are not given any brand information.,The judges are not given any brand information.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40328697.mp3," Born in Chicago, Illinois, Thomas grew up in Pittsburgh, Pennsylvania.","Born in Chicago, Illinois, Thomas grew up in Pittsburgh, Pennsylvania."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40328700.mp3," She divorced the Garson, whom she married in London to Mary Bear.","She divorced De Garson, whom she married in London, to marry Baer."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40328702.mp3, Large amounts of animal habitat was destroyed.,Large amounts of animal habitat was destroyed.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40328713.mp3, The museum will sit on and has been given a building.,The museum will sit on and has been given a building.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40328715.mp3, The remaining plays of the tetrology have been mostly lost.,The remaining plays of the tetralogy have been mostly lost.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40328736.mp3, The cartridge isn't tended for a large and dangerous game.,The cartridge is intended for large and dangerous game.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40328739.mp3, This was achieved due to the steadfast dedication of Doig and Jafari.,This was achieved due to the steadfast dedication of Doig and Jaffari.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40328748.mp3, The game was released under different titles in each region.,The game was released under different titles in each region.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40328755.mp3, Burn attended the Baltimore City College High School and Wakeford College.,Byrne attended the Baltimore City College high school and Wake Forest College.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40328774.mp3, The district is located in the middle part of the black forest mountains.,The district is located in the middle part of the Black Forest mountains.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40206200.mp3," He has two daughters, Lexi and Maya.","He has two daughters, Lexi and Maya."
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40206205.mp3, Sharp contrast in the edges of the letters are also featured throughout his,Sharp contrast in the edges of the letters are also featured throughout his artwork.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40206206.mp3, This virtually guaranteed a death sentence.,This virtually guaranteed a death sentence.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40206213.mp3, He was educated at an Anglican school and was a apprentice.,He was educated at an Anglican school and was apprenticed as a cabinetmaker.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40206226.mp3," To Tars, we're also deported from Crimea.",Tatars were also deported from Crimea.
/content/drive/MyDrive/datasets/common-voice-18/cv-corpus-18.0-delta-2024-06-14/en/clips/common_voice_en_40206230.mp3, He was the father of Norsean and Yoratsune.,He was the father of Norizane and Yoritsune.
