audio_path,predicted_transcript,actual_sentence
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39684912.mp3,the following are the sub specialties recognized by the american board of internal,The following are the subspecialties recognized by the American Board of Internal Medicine.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39684951.mp3,tired with city life she heads for the wide open spaces of arizona,"Tired with city life, she heads for the wide open spaces of Arizona."
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39684973.mp3,the goal is not to seek permission,The goal is not to seek permission.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39710987.mp3,upon release olaf and steve were reunited with family and friends,"Upon release, Olaf and Steve were reunited with family and friends."
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39710994.mp3,he also appeared on beat the geeks,"He also appeared on ""Beat the Geeks""."
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39711111.mp3,the subject of the story goes back to the time of kate hoss row,The subject of the story goes back to the time of Kay Khosrow.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39711130.mp3,thus most meteor comments in santiago called la facade's novel the,Thus most media comments in Santiago called Lafourcade's novel the Chilean love story.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39711191.mp3,i had it refurbished,I had it refurbished.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39712641.mp3,the idea has since been used by many more recent compilers,The idea has since been used by many more recent compilers.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39712759.mp3,they only stayed in the league for two seasons,They only stayed in the league for two seasons.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39720775.mp3,cover photos were taken by famed photographer use of cash,Cover photos were taken by famed photographer Yousuf Karsh.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39723143.mp3,this affects their physical attributes and cognitive abilities,This affects their physical attributes and cognitive abilities.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39723741.mp3,i was tired of it,I was tired of it.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39723888.mp3,the large portion of forestery breaks up into a large clearing,The large portion of forestry breaks up into a large clearing.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39723962.mp3,place him happy music,Play some happy music.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39724064.mp3,a light refined and distinctly strayed,Elytra fine and distinctly striate.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39724546.mp3,the adda joins the po a few kilometers upstream of grimaud,The Adda joins the Po a few kilometres upstream of Cremona.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39724840.mp3,the former modoc mill site is now being developed as timber milch,The former Modoc mill site is now being developed as Timbermill Shores.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39730160.mp3,they were six on the league table before the cancellation of the league,They were sixth on the league table before the cancellation of the league.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39758714.mp3,we are told of liberal housewives who would provide a many as a basketful,We are told of liberal housewives who would provide a many as a basketful.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39763306.mp3,i didn't want ice cream anyway,I didn't want ice cream anyway.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39763385.mp3,nothing had withheld them but his prudence and authority,Nothing had withheld them but his prudence and authority.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39763749.mp3,the dam is closed to the public,The dam is closed to the public.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39764801.mp3,the bad publicity from the incident led earth first,The bad publicity from the incident led Earth First!
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39771010.mp3,but what does your papa care,But what does your papa care!
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39794197.mp3,the company is headquarters in lexington kentucky,"The company is headquartered in Lexington, Kentucky."
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39855972.mp3,in london he joined the communist's league,"In London, he joined the Communist League."
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39856002.mp3,daisy is a working fashion model,Daisy is a working fashion model.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39857424.mp3,my burying embassy in brussels is accredited to turkey,Liberian Embassy in Brussels is accredited to Turkey.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39857449.mp3,in hand ball are two winged positions left wing and right wing,In Handball are two wing positions: left wing and right wing.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39861542.mp3,however it was acknowledged that the album would not be their laugh,"However, it was acknowledged that the album would not be their last album together."
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39861691.mp3,other members of the family may also be mentioned,Other members of the family may also be mentioned.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39868715.mp3,the draw was again regenilized but not seated,The draw was again regionalised but not seeded.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39869067.mp3,thankfully the defendants are afforded certain legal protections,"Thankfully, the defendants are afforded certain legal protections constitutionally."
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39869218.mp3,her son jeffrey byron accepted the award on her behalf,"Her son, Jeffrey Byron, accepted the award on her behalf."
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39892020.mp3,fossils of momentous source have also been found at the sight,"Fossils of ""Mamenchisaurus"" have also been found at the site."
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39892108.mp3,the church is in the care of the church's conservation trust,The church is in the care of the Churches Conservation Trust.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39917065.mp3,compatilious shrines of the same period show laurie's figures of the same,Compitalia shrines of the same period show Lares figures of the same type.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39917067.mp3,he also shares the record of playing most seasons in turkish super,He also shares the record of playing most seasons in Turkish Super League.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39917162.mp3,the traditional coaea territory was near the geographic centre of southern,The traditional Cahuilla territory was near the geographic center of Southern California.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39917257.mp3,against the toronto phantoms pedajan recorded two tackles,"Against the Toronto Phantoms, Pettijohn recorded two tackles."
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39980690.mp3,there are also rectangular foam cards especially suitable for me,"There are also rectangular foam cards, especially suitable for making flat braids."
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39985311.mp3,nevertheless it attracted many students with its low fees,"Nevertheless, it attracted many students with its low fees."
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39996744.mp3,frank rich wrote julia white makes a far more vivid impression,Frank Rich wrote: Julie White makes a far more vivid impression.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39605720.mp3,tell him that tree was immediately restored allowing the mission,"Telemetry was immediately restored, allowing the mission to continue."
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39605732.mp3,pushkin himself published some of his most famous words in,Pushkin himself published some of his most famous works in this paper.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39605735.mp3,harmless arrow is easiest to understand in him every,Harmless error is easiest to understand in an evidentiary context.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39605737.mp3,the party was formed by members and support us of the established,The party was formed by members and supporters of the establishment.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39605754.mp3,she was put into prison soon afterward,She was put into prison soon afterward.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39605818.mp3,he was killed by mexicans,He was killed by Mexicans.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39605843.mp3,she is a daughter of alvan and elfrida marsh,She is the daughter of Alvin and Elfrida Marsh.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39605851.mp3,jane asked laps him for this and those who never help him,Jaina slaps him for this and vows to never help him again.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39605852.mp3,another's second restoration he pursued a political,"Under the Second Restoration, he pursued a political career."
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39605866.mp3,it opened with three folding faculties arts engineer,"It opened with three founding faculties, Arts, Engineering and Medicine."
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39605870.mp3,though manufacturing drops have entirely disappeared,The manufacturing jobs have entirely disappeared.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39634443.mp3,fourth point of similar results with the elabor pro gre,Forcepoint had similar results with the other programs.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39634456.mp3,the rest of thorough rouge was never a bird,The rest of the route was never built.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39634491.mp3,finally i'm done,"Finally, I'm done!"
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39634550.mp3,the park is within the region basin,The park is within the Raton Basin.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39634559.mp3,parts of the novel are a reprise of n,Parts of the novel are a reprise of Anne Frank's Diary.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39634560.mp3,i'd just go to part turn job at a farm,I just got a part time job at a farm.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39634561.mp3,he's also a mamma of sir phillogel fiazo society,He is also a member of the Philadelphia Society.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39634580.mp3,sir launcelot however by annually casting dusk,Serpents live forever by annually casting their skins.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39634633.mp3,the fighters accused their elite forces,The fighters accused the Elite Forces of corruption.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39634641.mp3,pass that salt,Pass the salt.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39634687.mp3,he sets in the house of lords as a cross bencher,He sits in the House of Lords as a crossbencher.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39634689.mp3,the girl goes on her machine without saying a word to any one,The girl goes on her mission without saying a word to anyone.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39634765.mp3,she wears a long robe and a large coat,She wears a long robe and a large hood.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39688984.mp3,the oldest remaining part of the palace is the early english,The oldest remaining part of the palace is the Early English chapel.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39689049.mp3,the second a courche near cobule hall during the north american,The second occurred near Cobo Hall during the North American International Auto Show.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39689070.mp3,the farmers girl times as a weekly newspaper published,"The ""Farmersville Times"" is a weekly newspaper published in the city."
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39689076.mp3,he graduated with a master degree from stamford universe,He graduated with a master degree from Stanford University.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39689077.mp3,a spinning rock can also be used in some waters,A spinning rod can also be used in some waters.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39689153.mp3,it was directed by keith bullchand,It was directed by Keith Beauchamp.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39698122.mp3,elfreda felt and had no direct the sentence,Alfred Felton had no direct descendants.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39698307.mp3,this iconic version is what knows more americans know,This iconic version is what most North Americans know as roti.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39698340.mp3,the mlan i had been created and sported by charing fox,The emblem had been created and sported by Italian fighter pilot Francesco Baracca.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39698362.mp3,my water bottle is unfortunately empty,My water bottle is unfortunately empty.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39754654.mp3,its spy eyes made of ashla,Its spire is made of ashlar.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39754664.mp3,he played college football at stamford and arizona state,He played college football at Stanford and Arizona State.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39754727.mp3,he was enrolled in the stark military academy in the first,He was enrolled in the Stark Military Academy in the first grade.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39754752.mp3,he said it would make him shift here,He said it would make him shiftier.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39801587.mp3,the boots and the cats and their tips and the,The boots and the cats and the tips and the tracks.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39801606.mp3,the independents had announced that they found it eventually became,The independent settlement that they founded eventually became known as Opobo.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39801619.mp3,break compensate or fitted on petrol models,Brake compensator fitted on petrol models.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39801831.mp3,the most recent acquisition was the beach at,The most recent acquisition was the beach at Cresswell.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_39801837.mp3,a book almost a brave as one to a waltz,"Her book ""Home of the Brave"" has won two awards."
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_40136923.mp3,the roof over the nave and self isle,The roof over the nave and south aisle was repaired.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_40137004.mp3,that doesn't mean that i will stay here,That doesn't mean that I will stay here.
/content/drive/MyDrive/datasets/common-voice-17/cv-corpus-17.0-delta-2024-03-15/en/clips/common_voice_en_40137084.mp3,a vast staff officers are appointed base on schools and level,Other staff officers are appointed based on skills and level of interest.
